"","country","continent","year","lifeExp","pop","gdpPercap"
"260","Trinidad and Tobago","Americas",2007,69.819,1056608,18008.50924
"261","Tunisia","Africa",2002,73.042,9770575,5722.895655
"262","Tunisia","Africa",2007,73.923,10276158,7092.923025
"263","Turkey","Europe",2002,70.845,67308928,6508.085718
"264","Turkey","Europe",2007,71.777,71158647,8458.276384
"265","Uganda","Africa",2002,47.813,24739869,927.7210018
"266","Uganda","Africa",2007,51.542,29170398,1056.380121
"267","United Kingdom","Europe",2002,78.471,59912431,29478.99919
"268","United Kingdom","Europe",2007,79.425,60776238,33203.26128
"269","United States","Americas",2002,77.31,287675526,39097.09955
"270","United States","Americas",2007,78.242,301139947,42951.65309
"271","Uruguay","Americas",2002,75.307,3363085,7727.002004
"272","Uruguay","Americas",2007,76.384,3447496,10611.46299
"273","Venezuela","Americas",2002,72.766,24287670,8605.047831
"274","Venezuela","Americas",2007,73.747,26084662,11415.80569
"275","Vietnam","Asia",2002,73.017,80908147,1764.456677
"276","Vietnam","Asia",2007,74.249,85262356,2441.576404
"277","West Bank and Gaza","Asia",2002,72.37,3389578,4515.487575
"278","West Bank and Gaza","Asia",2007,73.422,4018332,3025.349798
"279","Yemen, Rep.","Asia",2002,60.308,18701257,2234.820827
"280","Yemen, Rep.","Asia",2007,62.698,22211743,2280.769906
"281","Zambia","Africa",2002,39.193,10595811,1071.613938
"282","Zambia","Africa",2007,42.384,11746035,1271.211593
"283","Zimbabwe","Africa",2002,39.989,11926563,672.0386227
"284","Zimbabwe","Africa",2007,43.487,12311143,469.7092981
